,approach,model_label,classifier,preprocessing,undersampling,anomaly,metric,1,import_order
5442,BERT,7_5_2_2_BERT_BASE_raw_UNfrozen_layers_8_9_10_11_concat_layers_8_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_ATC Issue,f1-score,0.10063421310073706,5432
4950,BERT,7_5_4_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened_large_LR,BERT_BASE FROZEN,raw,0,Anomaly_Deviation - Altitude,f1-score,-0.5060842433697347,4928
5006,BERT,7_5_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened,BERT_BASE FROZEN,raw,0,Anomaly_Deviation - Altitude,f1-score,-0.15159125078935548,4984
5062,BERT,7_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,raw,0,Anomaly_Deviation - Altitude,f1-score,-0.5060842433697347,5040
5118,BERT,7_5_1_BERT_BASE_raw_FROZEN_concat_layers_9_10_11_12_,BERT_BASE FROZEN,raw,0,Anomaly_Deviation - Altitude,f1-score,-0.49920350942478053,5096
5174,BERT,7_4_1_BERT_BASE_PP_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,PP,0,Anomaly_Deviation - Altitude,f1-score,-0.5060842433697347,5152
5230,BERT,7_3_9_3_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,raw,0,Anomaly_Deviation - Altitude,f1-score,0.17583229449734417,5208
5286,BERT,7_5_2_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_12_,BERT_BASE UNFROZEN,raw,0,Anomaly_Deviation - Altitude,f1-score,0.17230771642926024,5264
5342,BERT,7_5_2_1_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Deviation - Altitude,f1-score,0.16334514776829523,5320
5398,BERT,7_3_9_2_BERT_BASE_PP_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,PP,0,Anomaly_Deviation - Altitude,f1-score,0.1860217863418877,5376
5454,BERT,7_5_2_2_BERT_BASE_raw_UNfrozen_layers_8_9_10_11_concat_layers_8_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Deviation - Altitude,f1-score,0.1838033970797035,5432
4958,BERT,7_5_4_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened_large_LR,BERT_BASE FROZEN,raw,0,Anomaly_Deviation - Track / Heading,f1-score,-0.4414836154123154,4928
5014,BERT,7_5_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened,BERT_BASE FROZEN,raw,0,Anomaly_Deviation - Track / Heading,f1-score,-0.21338767806527673,4984
5070,BERT,7_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,raw,0,Anomaly_Deviation - Track / Heading,f1-score,-0.4414836154123154,5040
5126,BERT,7_5_1_BERT_BASE_raw_FROZEN_concat_layers_9_10_11_12_,BERT_BASE FROZEN,raw,0,Anomaly_Deviation - Track / Heading,f1-score,-0.44024368980785167,5096
5182,BERT,7_4_1_BERT_BASE_PP_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,PP,0,Anomaly_Deviation - Track / Heading,f1-score,-0.4414836154123154,5152
5238,BERT,7_3_9_3_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,raw,0,Anomaly_Deviation - Track / Heading,f1-score,0.21738578029918554,5208
5294,BERT,7_5_2_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_12_,BERT_BASE UNFROZEN,raw,0,Anomaly_Deviation - Track / Heading,f1-score,0.14808910116941731,5264
5350,BERT,7_5_2_1_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Deviation - Track / Heading,f1-score,0.1846623947744418,5320
5406,BERT,7_3_9_2_BERT_BASE_PP_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,PP,0,Anomaly_Deviation - Track / Heading,f1-score,0.18524114856735052,5376
5462,BERT,7_5_2_2_BERT_BASE_raw_UNfrozen_layers_8_9_10_11_concat_layers_8_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Deviation - Track / Heading,f1-score,0.1942637980732358,5432
4974,BERT,7_5_4_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened_large_LR,BERT_BASE FROZEN,raw,0,Anomaly_Ground Event / Encounter,f1-score,-0.4758868074930251,4928
5030,BERT,7_5_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened,BERT_BASE FROZEN,raw,0,Anomaly_Ground Event / Encounter,f1-score,-0.22246935218282526,4984
5086,BERT,7_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,raw,0,Anomaly_Ground Event / Encounter,f1-score,-0.4758868074930251,5040
5142,BERT,7_5_1_BERT_BASE_raw_FROZEN_concat_layers_9_10_11_12_,BERT_BASE FROZEN,raw,0,Anomaly_Ground Event / Encounter,f1-score,-0.4691843946243924,5096
5198,BERT,7_4_1_BERT_BASE_PP_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,PP,0,Anomaly_Ground Event / Encounter,f1-score,-0.4758868074930251,5152
5254,BERT,7_3_9_3_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,raw,0,Anomaly_Ground Event / Encounter,f1-score,0.1283521135089017,5208
5310,BERT,7_5_2_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_12_,BERT_BASE UNFROZEN,raw,0,Anomaly_Ground Event / Encounter,f1-score,0.13619174011720087,5264
5366,BERT,7_5_2_1_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Ground Event / Encounter,f1-score,0.14008807914806315,5320
5422,BERT,7_3_9_2_BERT_BASE_PP_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,PP,0,Anomaly_Ground Event / Encounter,f1-score,0.15215570193446887,5376
5478,BERT,7_5_2_2_BERT_BASE_raw_UNfrozen_layers_8_9_10_11_concat_layers_8_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Ground Event / Encounter,f1-score,0.0926286900599928,5432
4942,BERT,7_5_4_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened_large_LR,BERT_BASE FROZEN,raw,0,Anomaly_Flight Deck / Cabin / Aircraft Event,f1-score,-0.6465256797583082,4928
4998,BERT,7_5_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened,BERT_BASE FROZEN,raw,0,Anomaly_Flight Deck / Cabin / Aircraft Event,f1-score,-0.09426761524217919,4984
5054,BERT,7_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,raw,0,Anomaly_Flight Deck / Cabin / Aircraft Event,f1-score,-0.6452064185445879,5040
5110,BERT,7_5_1_BERT_BASE_raw_FROZEN_concat_layers_9_10_11_12_,BERT_BASE FROZEN,raw,0,Anomaly_Flight Deck / Cabin / Aircraft Event,f1-score,-0.4907587356441584,5096
5166,BERT,7_4_1_BERT_BASE_PP_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,PP,0,Anomaly_Flight Deck / Cabin / Aircraft Event,f1-score,-0.6465256797583082,5152
5222,BERT,7_3_9_3_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,raw,0,Anomaly_Flight Deck / Cabin / Aircraft Event,f1-score,0.10215991435315341,5208
5278,BERT,7_5_2_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_12_,BERT_BASE UNFROZEN,raw,0,Anomaly_Flight Deck / Cabin / Aircraft Event,f1-score,0.09974297695810963,5264
5334,BERT,7_5_2_1_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Flight Deck / Cabin / Aircraft Event,f1-score,0.09239424575379607,5320
5390,BERT,7_3_9_2_BERT_BASE_PP_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,PP,0,Anomaly_Flight Deck / Cabin / Aircraft Event,f1-score,0.0813603772132061,5376
5446,BERT,7_5_2_2_BERT_BASE_raw_UNfrozen_layers_8_9_10_11_concat_layers_8_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Flight Deck / Cabin / Aircraft Event,f1-score,0.10899768134274213,5432
4970,BERT,7_5_4_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened_large_LR,BERT_BASE FROZEN,raw,0,Anomaly_Ground Incursion,f1-score,-0.5452695829094608,4928
5026,BERT,7_5_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened,BERT_BASE FROZEN,raw,0,Anomaly_Ground Incursion,f1-score,-0.07273561953084301,4984
5082,BERT,7_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,raw,0,Anomaly_Ground Incursion,f1-score,-0.5452695829094608,5040
5138,BERT,7_5_1_BERT_BASE_raw_FROZEN_concat_layers_9_10_11_12_,BERT_BASE FROZEN,raw,0,Anomaly_Ground Incursion,f1-score,-0.5036782628371281,5096
5194,BERT,7_4_1_BERT_BASE_PP_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,PP,0,Anomaly_Ground Incursion,f1-score,-0.5452695829094608,5152
5250,BERT,7_3_9_3_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,raw,0,Anomaly_Ground Incursion,f1-score,0.1558409916921809,5208
5306,BERT,7_5_2_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_12_,BERT_BASE UNFROZEN,raw,0,Anomaly_Ground Incursion,f1-score,0.1432550072544736,5264
5362,BERT,7_5_2_1_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Ground Incursion,f1-score,0.14726773052337494,5320
5418,BERT,7_3_9_2_BERT_BASE_PP_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,PP,0,Anomaly_Ground Incursion,f1-score,0.1311855822714516,5376
5474,BERT,7_5_2_2_BERT_BASE_raw_UNfrozen_layers_8_9_10_11_concat_layers_8_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Ground Incursion,f1-score,0.14292416078377823,5432
4934,BERT,7_5_4_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened_large_LR,BERT_BASE FROZEN,raw,0,Anomaly_Airspace Violation,f1-score,-0.5007256894049347,4928
4990,BERT,7_5_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened,BERT_BASE FROZEN,raw,0,Anomaly_Airspace Violation,f1-score,-0.4026641158587545,4984
5046,BERT,7_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,raw,0,Anomaly_Airspace Violation,f1-score,-0.5007256894049347,5040
5102,BERT,7_5_1_BERT_BASE_raw_FROZEN_concat_layers_9_10_11_12_,BERT_BASE FROZEN,raw,0,Anomaly_Airspace Violation,f1-score,-0.49329074516701643,5096
5158,BERT,7_4_1_BERT_BASE_PP_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,PP,0,Anomaly_Airspace Violation,f1-score,-0.5007256894049347,5152
5214,BERT,7_3_9_3_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,raw,0,Anomaly_Airspace Violation,f1-score,0.11231778885593491,5208
5270,BERT,7_5_2_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_12_,BERT_BASE UNFROZEN,raw,0,Anomaly_Airspace Violation,f1-score,0.0949264845081087,5264
5326,BERT,7_5_2_1_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Airspace Violation,f1-score,0.06671617106018168,5320
5382,BERT,7_3_9_2_BERT_BASE_PP_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,PP,0,Anomaly_Airspace Violation,f1-score,-0.002011036448636483,5376
5438,BERT,7_5_2_2_BERT_BASE_raw_UNfrozen_layers_8_9_10_11_concat_layers_8_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Airspace Violation,f1-score,0.06129575010501942,5432
4954,BERT,7_5_4_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened_large_LR,BERT_BASE FROZEN,raw,0,Anomaly_Deviation - Speed,f1-score,-0.3548022598870057,4928
5010,BERT,7_5_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened,BERT_BASE FROZEN,raw,0,Anomaly_Deviation - Speed,f1-score,-0.34354522423972617,4984
5066,BERT,7_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,raw,0,Anomaly_Deviation - Speed,f1-score,-0.3548022598870057,5040
5122,BERT,7_5_1_BERT_BASE_raw_FROZEN_concat_layers_9_10_11_12_,BERT_BASE FROZEN,raw,0,Anomaly_Deviation - Speed,f1-score,-0.3548022598870057,5096
5178,BERT,7_4_1_BERT_BASE_PP_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,PP,0,Anomaly_Deviation - Speed,f1-score,-0.3548022598870057,5152
5234,BERT,7_3_9_3_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,raw,0,Anomaly_Deviation - Speed,f1-score,0.15726489646136782,5208
5290,BERT,7_5_2_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_12_,BERT_BASE UNFROZEN,raw,0,Anomaly_Deviation - Speed,f1-score,0.1034791846958088,5264
5346,BERT,7_5_2_1_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Deviation - Speed,f1-score,0.10120765337197829,5320
5402,BERT,7_3_9_2_BERT_BASE_PP_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,PP,0,Anomaly_Deviation - Speed,f1-score,0.035050877629683286,5376
5458,BERT,7_5_2_2_BERT_BASE_raw_UNfrozen_layers_8_9_10_11_concat_layers_8_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Deviation - Speed,f1-score,0.10018557466287265,5432
4966,BERT,7_5_4_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened_large_LR,BERT_BASE FROZEN,raw,0,Anomaly_Ground Excursion,f1-score,-0.4923469387755102,4928
5022,BERT,7_5_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened,BERT_BASE FROZEN,raw,0,Anomaly_Ground Excursion,f1-score,-0.300566116857702,4984
5078,BERT,7_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,raw,0,Anomaly_Ground Excursion,f1-score,-0.4923469387755102,5040
5134,BERT,7_5_1_BERT_BASE_raw_FROZEN_concat_layers_9_10_11_12_,BERT_BASE FROZEN,raw,0,Anomaly_Ground Excursion,f1-score,-0.4923469387755102,5096
5190,BERT,7_4_1_BERT_BASE_PP_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,PP,0,Anomaly_Ground Excursion,f1-score,-0.4923469387755102,5152
5246,BERT,7_3_9_3_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,raw,0,Anomaly_Ground Excursion,f1-score,0.17257452719307614,5208
5302,BERT,7_5_2_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_12_,BERT_BASE UNFROZEN,raw,0,Anomaly_Ground Excursion,f1-score,0.16521847646908588,5264
5358,BERT,7_5_2_1_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Ground Excursion,f1-score,0.16346196459039636,5320
5414,BERT,7_3_9_2_BERT_BASE_PP_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,PP,0,Anomaly_Ground Excursion,f1-score,0.1588757124471411,5376
5470,BERT,7_5_2_2_BERT_BASE_raw_UNfrozen_layers_8_9_10_11_concat_layers_8_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Ground Excursion,f1-score,0.16504876286797904,5432
4982,BERT,7_5_4_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened_large_LR,BERT_BASE FROZEN,raw,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,4928
5038,BERT,7_5_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened,BERT_BASE FROZEN,raw,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,4984
5094,BERT,7_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,raw,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,5040
5150,BERT,7_5_1_BERT_BASE_raw_FROZEN_concat_layers_9_10_11_12_,BERT_BASE FROZEN,raw,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,5096
5206,BERT,7_4_1_BERT_BASE_PP_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,PP,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,5152
5262,BERT,7_3_9_3_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,raw,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.045221445221445215,5208
5318,BERT,7_5_2_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_12_,BERT_BASE UNFROZEN,raw,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,5264
5374,BERT,7_5_2_1_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0293560606060606,5320
5430,BERT,7_3_9_2_BERT_BASE_PP_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,PP,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,5376
5486,BERT,7_5_2_2_BERT_BASE_raw_UNfrozen_layers_8_9_10_11_concat_layers_8_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_No Specific Anomaly Occurred,f1-score,-0.0606060606060606,5432
4961,BERT,7_5_4_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened_large_LR,BERT_BASE FROZEN,raw,0,Anomaly_Deviation / Discrepancy - Procedural,recall,0.18058535748004467,4928
5017,BERT,7_5_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened,BERT_BASE FROZEN,raw,0,Anomaly_Deviation / Discrepancy - Procedural,recall,-0.05664749806883529,4984
5073,BERT,7_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,raw,0,Anomaly_Deviation / Discrepancy - Procedural,recall,0.006008067976997711,5040
5129,BERT,7_5_1_BERT_BASE_raw_FROZEN_concat_layers_9_10_11_12_,BERT_BASE FROZEN,raw,0,Anomaly_Deviation / Discrepancy - Procedural,recall,-0.015620976740193915,5096
5185,BERT,7_4_1_BERT_BASE_PP_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,PP,0,Anomaly_Deviation / Discrepancy - Procedural,recall,0.17989872113981642,5152
5241,BERT,7_3_9_3_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,raw,0,Anomaly_Deviation / Discrepancy - Procedural,recall,-0.020513260664320576,5208
5297,BERT,7_5_2_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_12_,BERT_BASE UNFROZEN,raw,0,Anomaly_Deviation / Discrepancy - Procedural,recall,-0.02540554458844735,5264
5353,BERT,7_5_2_1_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Deviation / Discrepancy - Procedural,recall,0.0152776585700799,5320
5409,BERT,7_3_9_2_BERT_BASE_PP_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,PP,0,Anomaly_Deviation / Discrepancy - Procedural,recall,0.004720624839069654,5376
5465,BERT,7_5_2_2_BERT_BASE_raw_UNfrozen_layers_8_9_10_11_concat_layers_8_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Deviation / Discrepancy - Procedural,recall,-0.0260921809286756,5432
4929,BERT,7_5_4_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened_large_LR,BERT_BASE FROZEN,raw,0,Anomaly_Aircraft Equipment,recall,-0.7444560396556222,4928
4985,BERT,7_5_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened,BERT_BASE FROZEN,raw,0,Anomaly_Aircraft Equipment,recall,0.034829115575267355,4984
5041,BERT,7_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,raw,0,Anomaly_Aircraft Equipment,recall,-0.0542655883120271,5040
5097,BERT,7_5_1_BERT_BASE_raw_FROZEN_concat_layers_9_10_11_12_,BERT_BASE FROZEN,raw,0,Anomaly_Aircraft Equipment,recall,0.009913905557004998,5096
5153,BERT,7_4_1_BERT_BASE_PP_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,PP,0,Anomaly_Aircraft Equipment,recall,-0.39694756065744846,5152
5209,BERT,7_3_9_3_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,raw,0,Anomaly_Aircraft Equipment,recall,0.11870597443255937,5208
5265,BERT,7_5_2_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_12_,BERT_BASE UNFROZEN,raw,0,Anomaly_Aircraft Equipment,recall,0.15105661361857547,5264
5321,BERT,7_5_2_1_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Aircraft Equipment,recall,0.09222541090529612,5320
5377,BERT,7_3_9_2_BERT_BASE_PP_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,PP,0,Anomaly_Aircraft Equipment,recall,0.0888338116357944,5376
5433,BERT,7_5_2_2_BERT_BASE_raw_UNfrozen_layers_8_9_10_11_concat_layers_8_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Aircraft Equipment,recall,0.12744586485781373,5432
4945,BERT,7_5_4_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened_large_LR,BERT_BASE FROZEN,raw,0,Anomaly_Conflict,recall,-0.5782332563510393,4928
5001,BERT,7_5_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened,BERT_BASE FROZEN,raw,0,Anomaly_Conflict,recall,-0.09786374133949194,4984
5057,BERT,7_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,raw,0,Anomaly_Conflict,recall,-0.5251154734411085,5040
5113,BERT,7_5_1_BERT_BASE_raw_FROZEN_concat_layers_9_10_11_12_,BERT_BASE FROZEN,raw,0,Anomaly_Conflict,recall,-0.3285219399538106,5096
5169,BERT,7_4_1_BERT_BASE_PP_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,PP,0,Anomaly_Conflict,recall,-0.5773672055427252,5152
5225,BERT,7_3_9_3_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,raw,0,Anomaly_Conflict,recall,0.204676674364896,5208
5281,BERT,7_5_2_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_12_,BERT_BASE UNFROZEN,raw,0,Anomaly_Conflict,recall,0.18648960739030018,5264
5337,BERT,7_5_2_1_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Conflict,recall,0.21218244803695152,5320
5393,BERT,7_3_9_2_BERT_BASE_PP_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,PP,0,Anomaly_Conflict,recall,0.23845265588914544,5376
5449,BERT,7_5_2_2_BERT_BASE_raw_UNfrozen_layers_8_9_10_11_concat_layers_8_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Conflict,recall,0.19861431870669743,5432
4977,BERT,7_5_4_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened_large_LR,BERT_BASE FROZEN,raw,0,Anomaly_Inflight Event / Encounter,recall,-0.49985443959243087,4928
5033,BERT,7_5_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_layer_11_flattened,BERT_BASE FROZEN,raw,0,Anomaly_Inflight Event / Encounter,recall,-0.16622998544395923,4984
5089,BERT,7_4_2_BERT_BASE_raw_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,raw,0,Anomaly_Inflight Event / Encounter,recall,-0.48558951965065505,5040
5145,BERT,7_5_1_BERT_BASE_raw_FROZEN_concat_layers_9_10_11_12_,BERT_BASE FROZEN,raw,0,Anomaly_Inflight Event / Encounter,recall,-0.36593886462882097,5096
5201,BERT,7_4_1_BERT_BASE_PP_FROZEN_concat_layers_NO_last_hidden_state_CLS,BERT_BASE FROZEN,PP,0,Anomaly_Inflight Event / Encounter,recall,-0.49985443959243087,5152
5257,BERT,7_3_9_3_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_NO_last_hidden_state_CLS,BERT_BASE UNFROZEN,raw,0,Anomaly_Inflight Event / Encounter,recall,0.1615720524017467,5208
5313,BERT,7_5_2_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_12_,BERT_BASE UNFROZEN,raw,0,Anomaly_Inflight Event / Encounter,recall,0.1280931586608442,5264
5369,BERT,7_5_2_1_BERT_BASE_raw_UNfrozen_layers_9_10_11_12_concat_layers_9_10_11_,BERT_BASE UNFROZEN,raw,0,Anomaly_Inflight Event / Encounter,recall,0.1301310043668122,5320
